編號,鄉鎮市區,主要用途,單價元坪,建築完成年
RPPNMLQKNHOFFBC08CA,信義區,住家用,107937.19008264464,083
RPSNMLSJNHOFFBC48CA,信義區,住家用,120479.33884297521,086
RPPOMLTJNHOFFBC38CA,中正區,住家用,124938.84297520661,085
RPQNMLTJNHOFFBC38CA,信義區,住家用,145847.93388429753,088
RPRNMLTJNHOFFBC48CA,信義區,住家用,149431.40495867768,064
RPRNMLMKNHOFFBC87CA,中正區,住家用,99871.07438016529,088
RPSNMLMKNHOFFBC97CA,中正區,住家用,82935.53719008264,088
RPXNMLMKNHOFFBC48CA,中正區,住家用,164370.2479338843,086
RPWPMLNKNHOFFBC68CA,中正區,住家用,72558.67768595042,085
RPPQMLNKNHOFFBC08CA,信義區,住家用,79345.45454545454,070
RPQPMLKKNHOFFCC87CA,中山區,住家用,104631.40495867768,066
RPROMLQKNHOFFCC48CA,中山區,住家用,178707.43801652893,086
RPQOMLNKNHOFFBC08DA,信義區,住家用,165590.0826446281,088
RPQNMLNKNHOFFCC97CA,中山區,住家用,131689.2561983471,083
RPSPMLKKNHOFFBC97CA,信義區,住家用,120238.01652892563,068
